"id","country_id","league_id","season","stage","date","match_api_id","home_team_api_id","away_team_api_id","home_team_goal","away_team_goal","home_player_X1","home_player_X2","home_player_X3","home_player_X4","home_player_X5","home_player_X6","home_player_X7","home_player_X8","home_player_X9","home_player_X10","home_player_X11","away_player_X1","away_player_X2","away_player_X3","away_player_X4","away_player_X5","away_player_X6","away_player_X7","away_player_X8","away_player_X9","away_player_X10","away_player_X11","home_player_Y1","home_player_Y2","home_player_Y3","home_player_Y4","home_player_Y5","home_player_Y6","home_player_Y7","home_player_Y8","home_player_Y9","home_player_Y10","home_player_Y11","away_player_Y1","away_player_Y2","away_player_Y3","away_player_Y4","away_player_Y5","away_player_Y6","away_player_Y7","away_player_Y8","away_player_Y9","away_player_Y10","away_player_Y11","home_player_1","home_player_2","home_player_3","home_player_4","home_player_5","home_player_6","home_player_7","home_player_8","home_player_9","home_player_10","home_player_11","away_player_1","away_player_2","away_player_3","away_player_4","away_player_5","away_player_6","away_player_7","away_player_8","away_player_9","away_player_10","away_player_11","goal","shoton","shotoff","foulcommit","card","cross","corner","possession","B365H","B365D","B365A","BWH","BWD","BWA","IWH","IWD","IWA","LBH","LBD","LBA","PSH","PSD","PSA","WHH","WHD","WHA","SJH","SJD","SJA","VCH","VCD","VCA","GBH","GBD","GBA","BSH","BSD","BSA"
"1","1","1","2008/2009","1","2008-08-17 00:00:00","492473","9987","9993","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.73","3.4","5","1.75","3.35","4.2","1.85","3.2","3.5","1.8","3.3","3.75","","","","1.7","3.3","4.33","1.9","3.3","4","1.65","3.4","4.5","1.78","3.25","4","1.73","3.4","4.2"
"2","1","1","2008/2009","1","2008-08-16 00:00:00","492474","10000","9994","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.95","3.2","3.6","1.8","3.3","3.95","1.9","3.2","3.5","1.9","3.2","3.5","","","","1.83","3.3","3.6","1.95","3.3","3.8","2","3.25","3.25","1.85","3.25","3.75","1.91","3.25","3.6"
"3","1","1","2008/2009","1","2008-08-16 00:00:00","492475","9984","8635","0","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.38","3.3","2.75","2.4","3.3","2.55","2.6","3.1","2.3","2.5","3.2","2.5","","","","2.5","3.25","2.4","2.63","3.3","2.5","2.35","3.25","2.65","2.5","3.2","2.5","2.3","3.2","2.75"
"4","1","1","2008/2009","1","2008-08-17 00:00:00","492476","9991","9998","5","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.44","3.75","7.5","1.4","4","6.8","1.4","3.9","6","1.44","3.6","6.5","","","","1.44","3.75","6","1.44","4","7.5","1.45","3.75","6.5","1.5","3.75","5.5","1.44","3.75","6.5"
"5","1","1","2008/2009","1","2008-08-16 00:00:00","492477","7947","9985","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","3.5","1.65","5","3.5","1.6","4","3.3","1.7","4","3.4","1.72","","","","4.2","3.4","1.7","4.5","3.5","1.73","4.5","3.4","1.65","4.5","3.5","1.65","4.75","3.3","1.67"
"6","1","1","2008/2009","1","2008-09-24 00:00:00","492478","8203","8342","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.75","3.4","1.67","4.85","3.4","1.65","3.7","3.2","1.8","5","3.25","1.62","","","","4.2","3.4","1.7","5.5","3.75","1.67","4.35","3.4","1.7","4.5","3.4","1.7","","",""
"7","1","1","2008/2009","1","2008-08-16 00:00:00","492479","9999","8571","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1","3.2","3.3","2.05","3.25","3.15","1.85","3.2","3.5","1.83","3.3","3.6","","","","1.83","3.3","3.6","1.91","3.4","3.6","2.1","3.25","3","1.85","3.25","3.75","2.1","3.25","3.1"
"8","1","1","2008/2009","1","2008-08-16 00:00:00","492480","4049","9996","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.2","3.4","2.2","2.55","3.3","2.4","2.4","3.2","2.4","2.5","3.2","2.5","","","","2.7","3.25","2.25","2.6","3.4","2.4","2.8","3.25","2.25","2.8","3.2","2.25","2.88","3.25","2.2"
"9","1","1","2008/2009","1","2008-08-16 00:00:00","492481","10001","9986","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.25","3.25","2.88","2.3","3.25","2.7","2.1","3.1","3","2.25","3.2","2.75","","","","2.2","3.25","2.75","2.2","3.3","3.1","2.25","3.25","2.8","2.2","3.3","2.8","2.25","3.2","2.8"
"10","1","1","2008/2009","10","2008-11-01 00:00:00","492564","8342","8571","4","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3","5.25","9.5","1.25","5","10","1.3","4.2","8","1.25","4.5","10","","","","1.35","4.2","7","1.27","5","10","1.3","4.35","8.5","1.25","5","10","1.29","4.5","9"
